variable,min,max,mean,median,std
total_cap,298.2142857142857,298.2142857142857,298.2142857142857,298.2142857142857,0.0
market_cost,9756.696428571428,9756.696428571428,9756.696428571428,9756.696428571428,0.0
lambda_e_avg,0.0,0.0,0.0,0.0,0.0
ls_total,850.0,850.0,850.0,850.0,0.0
rd_volume,0.0,0.0,0.0,0.0,0.0
rd_cost,0.0,0.0,0.0,0.0,0.0
curtailment,0.0,0.0,0.0,0.0,0.0
rd_up_vol,0.0,0.0,0.0,0.0,0.0
rd_down_vol,0.0,0.0,0.0,0.0,0.0
rd_cost_econ,0.0,0.0,0.0,0.0,0.0
curt_cost,0.0,0.0,0.0,0.0,0.0
lambda_c_z1,22.5,22.5,22.5,22.5,0.0
lambda_c_z2,30.0,30.0,30.0,30.0,0.0
lambda_c_z3,37.5,37.5,37.5,37.5,0.0
c_dem_z1,18.214285714285715,18.214285714285715,18.21428571428572,18.214285714285715,3.891802844472395e-15
c_dem_z2,153.75,153.75,153.75,153.75,0.0
c_dem_z3,126.25,126.25,126.25,126.25,0.0
nu_c_z1,22.5,22.5,22.5,22.5,0.0
nu_c_z2,30.0,30.0,30.0,30.0,0.0
nu_c_z3,37.5,37.5,37.5,37.5,0.0
req_z1,18.214285714285715,18.214285714285715,18.21428571428572,18.214285714285715,3.891802844472395e-15
req_z2,153.75,153.75,153.75,153.75,0.0
req_z3,126.25000000000003,126.25000000000003,126.25000000000001,126.25000000000003,1.556721137788958e-14
net_import_z1,-7.5,-7.5,-7.5,-7.5,0.0
net_import_z2,-3.75,-3.75,-3.75,-3.75,0.0
net_import_z3,11.25,11.25,11.25,11.25,0.0
c_NL0 0 CCGT,18.214285714285715,18.214285714285715,18.21428571428572,18.214285714285715,3.891802844472395e-15
c_NL0 1 coal,153.75,153.75,153.75,153.75,0.0
c_NL0 10 nuclear,126.25,126.25,126.25,126.25,0.0
