run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest
1,ptdf_pos,TIME_LIMIT,220.69600009918213,0.2693827522218746,14634.507602851118,3.0434163816352663e9,40.18282306038072,0.0,OPTIMAL,2.596588444901178e7,4.037860185911682e11,5.855627337925776e6,1.005512855554301e7,1.5910755893468773e7,-2.5226772571030527e8,4.0403828631687854e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,0.0,634.5076028511185,0.0,0.0,1000.0
2,ptdf_neg,TIME_LIMIT,220.6010000705719,1.49819106733593,14634.507602851118,3.043416381635267e9,40.18282306038072,0.0,OPTIMAL,2.1289844042347148e7,1.5857523989773593e11,2.2997811788153555e6,9.4950314317659e6,1.1794812610581249e7,-1.0966144052359009e8,1.5868490133825952e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,634.5076028511185
3,ptdf_pos,TIME_LIMIT,220.79100012779236,0.4712453699214784,14634.507602851118,3.043416381635267e9,40.18282306038072,0.0,OPTIMAL,2.1262332239093475e7,1.5857581764947665e11,2.299788779902276e6,9.481271729595602e6,1.1781060509497873e7,-1.0960816378038603e8,1.5868542581325705e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,634.5076028511185
4,ptdf_neg,TIME_LIMIT,220.760999917984,0.7361176113693445,14634.507602851118,3.043416381635267e9,40.18282306038072,0.0,OPTIMAL,1.6343288888131112e7,4.037157493283894e11,5.854613642795684e6,5.244337622667709e6,1.1098951265463402e7,-2.525920245127467e8,4.0396834135290216e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,0.0,634.5076028511185,0.0,0.0,1000.0
5,ptdf_pos,TIME_LIMIT,220.51799988746643,0.12213778224693668,14634.507602851118,3.0434163816352663e9,40.18282306038072,0.0,OPTIMAL,1.5219825171584986e7,3.059685355088164e11,4.437112747945716e6,5.391356211819627e6,9.828468959765358e6,-1.922440994379873e8,3.061607796082544e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,634.5076028511176,0.0,0.0
6,ptdf_neg,TIME_LIMIT,220.70900011062622,2.882799815333078,14634.507602851118,3.043416381635267e9,40.18282306038072,0.0,OPTIMAL,2.141490378769391e7,1.663965109279368e11,2.413196355366999e6,9.500853716163456e6,1.1914050071530454e7,-1.1403759238612145e8,1.665105485203229e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,634.5076028511185,0.0,1000.0
7,ptdf_pos,TIME_LIMIT,945.1949999332428,0.1358111105702372,14634.507602851118,3.043416381635267e9,40.18282306038072,0.0,OPTIMAL,1.6343288888131112e7,4.037157493283894e11,5.854613642795684e6,5.244337622667709e6,1.1098951265463402e7,-2.525920245127467e8,4.0396834135290216e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,0.0,634.5076028511185,0.0,0.0,1000.0
8,ptdf_neg,TIME_LIMIT,220.69400000572205,1.109745456066058,14634.507602851118,3.043416381635267e9,40.18282306038072,0.0,OPTIMAL,2.1262332239093475e7,1.5857581764947665e11,2.299788779902276e6,9.481271729595602e6,1.1781060509497873e7,-1.0960816378038603e8,1.5868542581325705e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,634.5076028511185
9,ptdf_pos,TIME_LIMIT,220.48200011253357,1.4864974801035686,14634.507602851118,3.043416381635267e9,40.18282306038072,0.0,OPTIMAL,2.1262332239093475e7,1.5857581764947665e11,2.299788779902276e6,9.481271729595602e6,1.1781060509497873e7,-1.0960816378038603e8,1.5868542581325705e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,634.5076028511185
10,ptdf_neg,TIME_LIMIT,220.52699995040894,0.5009859803550135,14634.507602851118,3.043416381635267e9,40.18282306038072,0.0,OPTIMAL,1.6343288888131112e7,4.037157493283894e11,5.854613642795684e6,5.244337622667709e6,1.1098951265463402e7,-2.525920245127467e8,4.0396834135290216e11,53935.51759343587,16722.70760285112,0.0,16722.70760285112,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,0.0,634.5076028511185,0.0,0.0,1000.0
